expected_speed,predicted_speed,angle,error
29.939999999999998,30.257499999999986,1.104,-17
30.160000000000004,30.49749999999999,0.552,-14
30.360000000000003,30.65250000000002,0.552,-13
30.54,30.830000000000005,0.552,-11
30.640000000000004,30.687500000000018,1.104,-13
30.740000000000002,30.807499999999987,0.552,-12
30.779999999999994,30.799999999999976,0.552,-12
30.880000000000003,31.09000000000002,0.0,-8
30.919999999999998,31.1125,0.552,-9
31.02,31.187500000000018,0.552,-8
31.1,31.197500000000026,0.552,-8
31.24,31.402500000000003,0.0,-5
31.3,31.485000000000003,0.0,-5
31.48,31.8375,0.0,0
31.54,31.5,0.552,-5
31.639999999999997,31.63500000000002,0.0,-3
31.74,31.9875,0.0,0
31.839999999999996,32.0,0.0,0
31.820000000000004,31.932500000000005,0.0,1
31.759999999999998,31.387500000000017,-1.104,8
31.660000000000004,31.235000000000024,-0.552,8
31.52,31.267499999999984,-0.552,7
31.32,31.065000000000005,-0.552,10
31.160000000000004,31.1325,-0.552,9
31.080000000000002,30.87749999999998,-1.104,12
30.9,30.474999999999977,-1.6560000000000001,17
30.72,30.392499999999995,-1.104,16
30.48,29.974999999999984,-2.208,22
30.28,30.16749999999999,-1.104,19
30.080000000000002,29.837499999999984,-1.6560000000000001,22
29.839999999999996,29.334999999999997,-22.08,29
29.520000000000003,28.932499999999987,-22.08,32
29.4,29.130000000000013,-1.6560000000000001,28
29.1,28.702500000000004,-22.08,34
28.860000000000003,28.617500000000007,-22.08,34
28.840000000000003,29.055000000000007,-2.208,30
28.779999999999994,28.532500000000006,-22.08,35
28.72,28.8825,-2.208,31
28.82,29.057500000000005,-2.208,29
28.880000000000003,28.915,-22.08,31
28.880000000000003,29.007500000000004,-2.208,30
29.060000000000002,29.297500000000003,-1.6560000000000001,26
29.0,28.7,-22.08,34
28.840000000000003,28.412499999999984,-22.08,37
28.7,28.247500000000013,-22.08,38
28.360000000000003,27.59749999999999,-22.08,47
28.0,27.547499999999996,-22.08,44
27.9,28.13500000000001,-22.08,39
27.82,27.97,-22.08,41
27.8,28.075000000000006,-22.08,39
28.0,28.22999999999999,-22.08,37
28.1,28.105000000000008,-22.08,39
28.22,28.545000000000016,-2.208,33
28.26,28.105000000000008,-22.08,39
28.320000000000004,28.402499999999993,-22.08,36
28.420000000000005,28.752499999999987,-2.208,32
28.659999999999997,29.132499999999975,-1.6560000000000001,27
28.8,29.342499999999994,-2.208,26
29.04,29.312499999999982,-2.208,27
29.3,29.59000000000001,-1.6560000000000001,23
29.440000000000005,29.464999999999996,-2.208,25
29.439999999999998,29.30249999999998,-2.208,27
29.380000000000003,29.165,-2.208,29
29.3,28.975,-22.08,31
29.2,29.22750000000001,-2.208,28
29.119999999999997,29.105,-2.208,29
